flipper_length_mm,body_mass_g,species
215.0,5150.0,Gentoo
214.0,4650.0,Gentoo
216.0,5550.0,Gentoo
214.0,4650.0,Gentoo
213.0,5850.0,Gentoo
210.0,4200.0,Gentoo
217.0,5850.0,Gentoo
210.0,4150.0,Gentoo
221.0,6300.0,Gentoo
209.0,4800.0,Gentoo
222.0,5350.0,Gentoo
218.0,5700.0,Gentoo
215.0,5000.0,Gentoo
213.0,4400.0,Gentoo
215.0,5050.0,Gentoo
215.0,5000.0,Gentoo
215.0,5100.0,Gentoo
215.0,5650.0,Gentoo
210.0,4600.0,Gentoo
220.0,5550.0,Gentoo
222.0,5250.0,Gentoo
209.0,4700.0,Gentoo
207.0,5050.0,Gentoo
230.0,6050.0,Gentoo
220.0,5150.0,Gentoo
220.0,5400.0,Gentoo
213.0,4950.0,Gentoo
219.0,5250.0,Gentoo
208.0,4350.0,Gentoo
208.0,5350.0,Gentoo
208.0,3950.0,Gentoo
225.0,5700.0,Gentoo
210.0,4300.0,Gentoo
216.0,4750.0,Gentoo
222.0,5550.0,Gentoo
217.0,4900.0,Gentoo
210.0,4200.0,Gentoo
225.0,5400.0,Gentoo
213.0,5100.0,Gentoo
215.0,5300.0,Gentoo
210.0,4850.0,Gentoo
220.0,5300.0,Gentoo
210.0,4400.0,Gentoo
225.0,5000.0,Gentoo
217.0,4900.0,Gentoo
220.0,5050.0,Gentoo
208.0,4300.0,Gentoo
220.0,5000.0,Gentoo
208.0,4450.0,Gentoo
224.0,5550.0,Gentoo
208.0,4200.0,Gentoo
221.0,5300.0,Gentoo
214.0,4400.0,Gentoo
231.0,5650.0,Gentoo
219.0,4700.0,Gentoo
230.0,5700.0,Gentoo
229.0,5800.0,Gentoo
220.0,4700.0,Gentoo
223.0,5550.0,Gentoo
216.0,4750.0,Gentoo
221.0,5000.0,Gentoo
221.0,5100.0,Gentoo
217.0,5200.0,Gentoo
216.0,4700.0,Gentoo
230.0,5800.0,Gentoo
209.0,4600.0,Gentoo
220.0,6000.0,Gentoo
215.0,4750.0,Gentoo
223.0,5950.0,Gentoo
212.0,4625.0,Gentoo
221.0,5450.0,Gentoo
212.0,4725.0,Gentoo
224.0,5350.0,Gentoo
212.0,4750.0,Gentoo
228.0,5600.0,Gentoo
218.0,4600.0,Gentoo
218.0,5300.0,Gentoo
212.0,4875.0,Gentoo
230.0,5550.0,Gentoo
218.0,4950.0,Gentoo
228.0,5400.0,Gentoo
212.0,4750.0,Gentoo
224.0,5650.0,Gentoo
214.0,4850.0,Gentoo
226.0,5200.0,Gentoo
216.0,4925.0,Gentoo
222.0,4875.0,Gentoo
203.0,4625.0,Gentoo
225.0,5250.0,Gentoo
219.0,4850.0,Gentoo
228.0,5600.0,Gentoo
215.0,4975.0,Gentoo
228.0,5500.0,Gentoo
215.0,5500.0,Gentoo
210.0,4700.0,Gentoo
219.0,5500.0,Gentoo
208.0,4575.0,Gentoo
209.0,5500.0,Gentoo
216.0,5000.0,Gentoo
229.0,5950.0,Gentoo
213.0,4650.0,Gentoo
230.0,5500.0,Gentoo
217.0,4375.0,Gentoo
230.0,5850.0,Gentoo
222.0,6000.0,Gentoo
214.0,4925.0,Gentoo
215.0,4850.0,Gentoo
222.0,5750.0,Gentoo
212.0,5200.0,Gentoo
213.0,5400.0,Gentoo
192.0,3500.0,Chinstrap
196.0,3900.0,Chinstrap
193.0,3650.0,Chinstrap
188.0,3525.0,Chinstrap
197.0,3725.0,Chinstrap
198.0,3950.0,Chinstrap
178.0,3250.0,Chinstrap
197.0,3750.0,Chinstrap
195.0,4150.0,Chinstrap
198.0,3700.0,Chinstrap
193.0,3800.0,Chinstrap
194.0,3775.0,Chinstrap
185.0,3700.0,Chinstrap
201.0,4050.0,Chinstrap
190.0,3575.0,Chinstrap
201.0,4050.0,Chinstrap
197.0,3300.0,Chinstrap
181.0,3700.0,Chinstrap
190.0,3450.0,Chinstrap
195.0,4400.0,Chinstrap
181.0,3600.0,Chinstrap
191.0,3400.0,Chinstrap
187.0,2900.0,Chinstrap
193.0,3800.0,Chinstrap
195.0,3300.0,Chinstrap
197.0,4150.0,Chinstrap
200.0,3400.0,Chinstrap
200.0,3800.0,Chinstrap
191.0,3700.0,Chinstrap
205.0,4550.0,Chinstrap
187.0,3200.0,Chinstrap
201.0,4300.0,Chinstrap
187.0,3350.0,Chinstrap
203.0,4100.0,Chinstrap
195.0,3600.0,Chinstrap
199.0,3900.0,Chinstrap
195.0,3850.0,Chinstrap
210.0,4800.0,Chinstrap
192.0,2700.0,Chinstrap
205.0,4500.0,Chinstrap
210.0,3950.0,Chinstrap
187.0,3650.0,Chinstrap
196.0,3550.0,Chinstrap
196.0,3500.0,Chinstrap
196.0,3675.0,Chinstrap
201.0,4450.0,Chinstrap
190.0,3400.0,Chinstrap
212.0,4300.0,Chinstrap
187.0,3250.0,Chinstrap
198.0,3675.0,Chinstrap
199.0,3325.0,Chinstrap
201.0,3950.0,Chinstrap
193.0,3600.0,Chinstrap
203.0,4050.0,Chinstrap
187.0,3350.0,Chinstrap
197.0,3450.0,Chinstrap
191.0,3250.0,Chinstrap
203.0,4050.0,Chinstrap
202.0,3800.0,Chinstrap
194.0,3525.0,Chinstrap
206.0,3950.0,Chinstrap
189.0,3650.0,Chinstrap
195.0,3650.0,Chinstrap
207.0,4000.0,Chinstrap
202.0,3400.0,Chinstrap
193.0,3775.0,Chinstrap
210.0,4100.0,Chinstrap
198.0,3775.0,Chinstrap
