species,sex,body_mass_g
Gentoo,Female,4650.0
Gentoo,Male,5850.0
Gentoo,Female,4200.0
Gentoo,Male,5850.0
Gentoo,Female,4150.0
Gentoo,Male,6300.0
Gentoo,Female,4800.0
Gentoo,Male,5350.0
Gentoo,Male,5700.0
Gentoo,Female,5000.0
Gentoo,Female,4400.0
Gentoo,Male,5050.0
Gentoo,Female,5000.0
Gentoo,Male,5100.0
Gentoo,Male,5650.0
Gentoo,Female,4600.0
Gentoo,Male,5550.0
Gentoo,Male,5250.0
Gentoo,Female,4700.0
Gentoo,Female,5050.0
Gentoo,Male,6050.0
Gentoo,Female,5150.0
Gentoo,Male,5400.0
Gentoo,Female,4950.0
Gentoo,Male,5250.0
Gentoo,Female,4350.0
Gentoo,Male,5350.0
Gentoo,Female,3950.0
Gentoo,Male,5700.0
Gentoo,Female,4300.0
Gentoo,Male,4750.0
Gentoo,Male,5550.0
Gentoo,Female,4900.0
Gentoo,Female,4200.0
Gentoo,Male,5400.0
Gentoo,Female,5100.0
Gentoo,Male,5300.0
Gentoo,Female,4850.0
Gentoo,Male,5300.0
Gentoo,Female,4400.0
Gentoo,Male,5000.0
Gentoo,Female,4900.0
Gentoo,Male,5050.0
Gentoo,Female,4300.0
Gentoo,Male,5000.0
Gentoo,Female,4450.0
Gentoo,Male,5550.0
Gentoo,Female,4200.0
Gentoo,Male,5300.0
Gentoo,Female,4400.0
Gentoo,Male,5650.0
Gentoo,Female,4700.0
Gentoo,Male,5700.0
Gentoo,Male,5800.0
Gentoo,Female,4700.0
Gentoo,Male,5550.0
Gentoo,Female,4750.0
Gentoo,Male,5000.0
Gentoo,Male,5100.0
Gentoo,Female,5200.0
Gentoo,Female,4700.0
Gentoo,Male,5800.0
Gentoo,Female,4600.0
Gentoo,Male,6000.0
Gentoo,Female,4750.0
Gentoo,Male,5950.0
Gentoo,Female,4625.0
Gentoo,Male,5450.0
Gentoo,Female,4725.0
Gentoo,Male,5350.0
Gentoo,Female,4750.0
Gentoo,Male,5600.0
Gentoo,Female,4600.0
Gentoo,Male,5300.0
Gentoo,Female,4875.0
Gentoo,Male,5550.0
Gentoo,Female,4950.0
Gentoo,Male,5400.0
Gentoo,Female,4750.0
Gentoo,Male,5650.0
Gentoo,Female,4850.0
Gentoo,Male,5200.0
Gentoo,Male,4925.0
Gentoo,Female,4875.0
Gentoo,Female,4625.0
Gentoo,Male,5250.0
Gentoo,Female,4850.0
Gentoo,Male,5600.0
Gentoo,Female,4975.0
Gentoo,Male,5500.0
Gentoo,Male,5500.0
Gentoo,Female,4700.0
Gentoo,Male,5500.0
Gentoo,Female,4575.0
Gentoo,Male,5500.0
Gentoo,Female,5000.0
Gentoo,Male,5950.0
Gentoo,Female,4650.0
Gentoo,Male,5500.0
Gentoo,Female,4375.0
Gentoo,Male,5850.0
Gentoo,Male,6000.0
Gentoo,Female,4925.0
Gentoo,Female,4850.0
Gentoo,Male,5750.0
Gentoo,Female,5200.0
Gentoo,Male,5400.0
Chinstrap,Female,3500.0
Chinstrap,Male,3900.0
Chinstrap,Male,3650.0
Chinstrap,Female,3525.0
Chinstrap,Male,3725.0
Chinstrap,Female,3950.0
Chinstrap,Female,3250.0
Chinstrap,Male,3750.0
Chinstrap,Female,4150.0
Chinstrap,Male,3700.0
Chinstrap,Female,3800.0
Chinstrap,Male,3775.0
Chinstrap,Female,3700.0
Chinstrap,Male,4050.0
Chinstrap,Female,3575.0
Chinstrap,Male,4050.0
Chinstrap,Male,3300.0
Chinstrap,Female,3700.0
Chinstrap,Female,3450.0
Chinstrap,Male,4400.0
Chinstrap,Female,3600.0
Chinstrap,Male,3400.0
Chinstrap,Female,2900.0
Chinstrap,Male,3800.0
Chinstrap,Female,3300.0
Chinstrap,Male,4150.0
Chinstrap,Female,3400.0
Chinstrap,Male,3800.0
Chinstrap,Female,3700.0
Chinstrap,Male,4550.0
Chinstrap,Female,3200.0
Chinstrap,Male,4300.0
Chinstrap,Female,3350.0
Chinstrap,Male,4100.0
Chinstrap,Male,3600.0
Chinstrap,Female,3900.0
Chinstrap,Female,3850.0
Chinstrap,Male,4800.0
Chinstrap,Female,2700.0
Chinstrap,Male,4500.0
Chinstrap,Male,3950.0
Chinstrap,Female,3650.0
Chinstrap,Male,3550.0
Chinstrap,Female,3500.0
Chinstrap,Female,3675.0
Chinstrap,Male,4450.0
Chinstrap,Female,3400.0
Chinstrap,Male,4300.0
Chinstrap,Male,3250.0
Chinstrap,Female,3675.0
Chinstrap,Female,3325.0
Chinstrap,Male,3950.0
Chinstrap,Female,3600.0
Chinstrap,Male,4050.0
Chinstrap,Female,3350.0
Chinstrap,Male,3450.0
Chinstrap,Female,3250.0
Chinstrap,Male,4050.0
Chinstrap,Male,3800.0
Chinstrap,Female,3525.0
Chinstrap,Male,3950.0
Chinstrap,Female,3650.0
Chinstrap,Female,3650.0
Chinstrap,Male,4000.0
Chinstrap,Female,3400.0
Chinstrap,Male,3775.0
Chinstrap,Male,4100.0
Chinstrap,Female,3775.0
