value,value_scale,source,REF_AREA,FREQ,MEASURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TIME_PERIOD,UNIT_MULT,DECIMALS,BASE_PER,OBS_STATUS,OBS_STATUS_2
3.400532198,1,OECD,Japan,Annual,Gross Domestic Expenditure on R&D (GERD),Percentage of GDP,Not applicable,Not applicable,2022,Units,Two,,,
3.44124934,1,OECD,Japan,Annual,Gross Domestic Expenditure on R&D (GERD),Percentage of GDP,Not applicable,Not applicable,2023,Units,Two,,,
2.201430061,1,OECD,China (People’s Republic of),Annual,Gross Domestic Expenditure on R&D (GERD),Percentage of GDP,Not applicable,Not applicable,2019,Units,Two,,,
2.357123977,1,OECD,China (People’s Republic of),Annual,Gross Domestic Expenditure on R&D (GERD),Percentage of GDP,Not applicable,Not applicable,2020,Units,Two,,,
2.381645893,1,OECD,China (People’s Republic of),Annual,Gross Domestic Expenditure on R&D (GERD),Percentage of GDP,Not applicable,Not applicable,2021,Units,Two,,,
2.494501536,1,OECD,China (People’s Republic of),Annual,Gross Domestic Expenditure on R&D (GERD),Percentage of GDP,Not applicable,Not applicable,2022,Units,Two,,,
2.577284878,1,OECD,China (People’s Republic of),Annual,Gross Domestic Expenditure on R&D (GERD),Percentage of GDP,Not applicable,Not applicable,2023,Units,Two,,,
2.692698924,1,OECD,China (People’s Republic of),Annual,Gross Domestic Expenditure on R&D (GERD),Percentage of GDP,Not applicable,Not applicable,2024,Units,Two,,,
110025410000,1000000,OECD,Germany,Annual,Gross Domestic Expenditure on R&D (GERD),National currency,Current prices,Not applicable,2019,Millions,Zero,,,
106582971000,1000000,OECD,Germany,Annual,Gross Domestic Expenditure on R&D (GERD),National currency,Current prices,Not applicable,2020,Millions,Zero,,,
113183578400,1000000,OECD,Germany,Annual,Gross Domestic Expenditure on R&D (GERD),National currency,Current prices,Not applicable,2021,Millions,Zero,,,
121421258000,1000000,OECD,Germany,Annual,Gross Domestic Expenditure on R&D (GERD),National currency,Current prices,Not applicable,2022,Millions,Zero,,,
132008040000,1000000,OECD,Germany,Annual,Gross Domestic Expenditure on R&D (GERD),National currency,Current prices,Not applicable,2023,Millions,Zero,,,
17954894000000,1000000,OECD,Japan,Annual,Gross Domestic Expenditure on R&D (GERD),National currency,Current prices,Not applicable,2019,Millions,Zero,,,
17622448000000,1000000,OECD,Japan,Annual,Gross Domestic Expenditure on R&D (GERD),National currency,Current prices,Not applicable,2020,Millions,Zero,,,
18106499000000,1000000,OECD,Japan,Annual,Gross Domestic Expenditure on R&D (GERD),National currency,Current prices,Not applicable,2021,Millions,Zero,,,
19060187000000,1000000,OECD,Japan,Annual,Gross Domestic Expenditure on R&D (GERD),National currency,Current prices,Not applicable,2022,Millions,Zero,,,
20369185000000,1000000,OECD,Japan,Annual,Gross Domestic Expenditure on R&D (GERD),National currency,Current prices,Not applicable,2023,Millions,Zero,,,
22088534000000,1000000,OECD,Japan,Annual,Gross Domestic Expenditure on R&D (GERD),National currency,Current prices,Not applicable,2024,Millions,Zero,,,
2214357739000,1000000,OECD,China (People’s Republic of),Annual,Gross Domestic Expenditure on R&D (GERD),National currency,Current prices,Not applicable,2019,Millions,Zero,,,
2439311233000,1000000,OECD,China (People’s Republic of),Annual,Gross Domestic Expenditure on R&D (GERD),National currency,Current prices,Not applicable,2020,Millions,Zero,,,
2795630727000,1000000,OECD,China (People’s Republic of),Annual,Gross Domestic Expenditure on R&D (GERD),National currency,Current prices,Not applicable,2021,Millions,Zero,,,
3078288234000,1000000,OECD,China (People’s Republic of),Annual,Gross Domestic Expenditure on R&D (GERD),National currency,Current prices,Not applicable,2022,Millions,Zero,,,
3335706881000,1000000,OECD,China (People’s Republic of),Annual,Gross Domestic Expenditure on R&D (GERD),National currency,Current prices,Not applicable,2023,Millions,Zero,,,
3632675689000,1000000,OECD,China (People’s Republic of),Annual,Gross Domestic Expenditure on R&D (GERD),National currency,Current prices,Not applicable,2024,Millions,Zero,,,
153293156400,1000000,OECD,Germany,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Current prices,Not applicable,2019,Millions,Zero,,,
150788820400,1000000,OECD,Germany,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Current prices,Not applicable,2020,Millions,Zero,,,
160158605200,1000000,OECD,Germany,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Current prices,Not applicable,2021,Millions,Zero,,,
176376023000,1000000,OECD,Germany,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Current prices,Not applicable,2022,Millions,Zero,,,
188299449900,1000000,OECD,Germany,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Current prices,Not applicable,2023,Millions,Zero,,,
173928426500,1000000,OECD,Japan,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Current prices,Not applicable,2019,Millions,Zero,,,
174926442400,1000000,OECD,Japan,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Current prices,Not applicable,2020,Millions,Zero,,,
182504422500,1000000,OECD,Japan,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Current prices,Not applicable,2021,Millions,Zero,,,
200798187400,1000000,OECD,Japan,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Current prices,Not applicable,2022,Millions,Zero,,,
217082040900,1000000,OECD,Japan,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Current prices,Not applicable,2023,Millions,Zero,,,
233833646700,1000000,OECD,Japan,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Current prices,Not applicable,2024,Millions,Zero,,,
545460785400,1000000,OECD,China (People’s Republic of),Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Current prices,Not applicable,2019,Millions,Zero,,,
607601473800,1000000,OECD,China (People’s Republic of),Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Current prices,Not applicable,2020,Millions,Zero,,,
701114637100,1000000,OECD,China (People’s Republic of),Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Current prices,Not applicable,2021,Millions,Zero,,,
811348199800,1000000,OECD,China (People’s Republic of),Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Current prices,Not applicable,2022,Millions,Zero,,,
915462810200,1000000,OECD,China (People’s Republic of),Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Current prices,Not applicable,2023,Millions,Zero,,,
1028343962000,1000000,OECD,China (People’s Republic of),Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Current prices,Not applicable,2024,Millions,Zero,,,
158394663200,1000000,OECD,Germany,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,Not applicable,2019,Millions,Zero,2020,,
150788820400,1000000,OECD,Germany,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,Not applicable,2020,Millions,Zero,2020,,
155922188600,1000000,OECD,Germany,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,Not applicable,2021,Millions,Zero,2020,,
179890893200,1000000,OECD,Japan,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,Not applicable,2019,Millions,Zero,2020,,
174926442400,1000000,OECD,Japan,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,Not applicable,2020,Millions,Zero,2020,,
180098403100,1000000,OECD,Japan,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,Not applicable,2021,Millions,Zero,2020,,
188830844400,1000000,OECD,Japan,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,Not applicable,2022,Millions,Zero,2020,,
193910530300,1000000,OECD,Japan,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,Not applicable,2023,Millions,Zero,2020,,
555878635600,1000000,OECD,China (People’s Republic of),Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,Not applicable,2019,Millions,Zero,2020,,
607601473800,1000000,OECD,China (People’s Republic of),Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,Not applicable,2020,Millions,Zero,2020,,
665789891000,1000000,OECD,China (People’s Republic of),Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,Not applicable,2021,Millions,Zero,2020,,
719192287800,1000000,OECD,China (People’s Republic of),Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,Not applicable,2022,Millions,Zero,2020,,
783303744700,1000000,OECD,China (People’s Republic of),Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,Not applicable,2023,Millions,Zero,2020,,
3.046917228,1,OECD,Germany,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,"Growth rate, over 1 year",2019,Units,One,2020,,
148.8524799,1,OECD,Germany,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,Index,2019,Units,One,2007,,
141.7048365,1,OECD,Germany,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,Index,2020,Units,One,2007,,
-4.801830251,1,OECD,Germany,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,"Growth rate, over 1 year",2020,Units,One,2020,,
3.40434272,1,OECD,Germany,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,"Growth rate, over 1 year",2021,Units,One,2020,,
146.5289548,1,OECD,Germany,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,Index,2021,Units,One,2007,,
-0.431827678,1,OECD,Japan,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,"Growth rate, over 1 year",2019,Units,One,2020,,
102.5404205,1,OECD,Japan,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,Index,2019,Units,One,2007,,
99.71061143,1,OECD,Japan,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,Index,2020,Units,One,2007,,
-2.759701034,1,OECD,Japan,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,"Growth rate, over 1 year",2020,Units,One,2020,,
2.956648903,1,OECD,Japan,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,"Growth rate, over 1 year",2021,Units,One,2020,,
102.6587041,1,OECD,Japan,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,Index,2021,Units,One,2007,,
107.6363225,1,OECD,Japan,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,Index,2022,Units,One,2007,,
4.848705587,1,OECD,Japan,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,"Growth rate, over 1 year",2022,Units,One,2020,,
2.690072104,1,OECD,Japan,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,"Growth rate, over 1 year",2023,Units,One,2020,,
110.5318171,1,OECD,Japan,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,Index,2023,Units,One,2007,,
11.11247902,1,OECD,China (People’s Republic of),Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,"Growth rate, over 1 year",2019,Units,One,2020,,
409.216778,1,OECD,China (People’s Republic of),Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,Index,2019,Units,One,2007,,
447.2931707,1,OECD,China (People’s Republic of),Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,Index,2020,Units,One,2007,,
9.304699786,1,OECD,China (People’s Republic of),Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,"Growth rate, over 1 year",2020,Units,One,2020,,
9.576740624,1,OECD,China (People’s Republic of),Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,"Growth rate, over 1 year",2021,Units,One,2020,,
490.1292775,1,OECD,China (People’s Republic of),Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,Index,2021,Units,One,2007,,
529.4420975,1,OECD,China (People’s Republic of),Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,Index,2022,Units,One,2007,,
8.020908324,1,OECD,China (People’s Republic of),Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,"Growth rate, over 1 year",2022,Units,One,2020,,
8.914369353,1,OECD,China (People’s Republic of),Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,"Growth rate, over 1 year",2023,Units,One,2020,,
576.6385216,1,OECD,China (People’s Republic of),Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,Index,2023,Units,One,2007,,
5.397009561,1,OECD,Japan,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,"Growth rate, over 1 year",2024,Units,One,2020,Estimated value,
9.702027781,1,OECD,China (People’s Republic of),Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,"Growth rate, over 1 year",2024,Units,One,2020,Estimated value,
116.4972299,1,OECD,Japan,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,Index,2024,Units,One,2007,Estimated value,
632.5841511,1,OECD,China (People’s Republic of),Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,Index,2024,Units,One,2007,Estimated value,
148.5268724,1,OECD,United States,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,Index,2019,Units,One,2007,Definition differs,
7.84839461,1,OECD,United States,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,"Growth rate, over 1 year",2019,Units,One,2020,Definition differs,
6.378243256,1,OECD,United States,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,"Growth rate, over 1 year",2020,Units,One,2020,Definition differs,
158.0002776,1,OECD,United States,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,Index,2020,Units,One,2007,Definition differs,
3.172078986,1,OECD,United States,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,"Growth rate, over 1 year",2022,Units,One,2020,Definition differs,
175.4698807,1,OECD,United States,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,Index,2022,Units,One,2007,Definition differs,
147.7200422,1,OECD,Germany,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,Index,2022,Units,One,2007,Provisional value,
0.812868296,1,OECD,Germany,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,"Growth rate, over 1 year",2022,Units,One,2020,Provisional value,
1.900746301,1,OECD,Germany,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,"Growth rate, over 1 year",2023,Units,One,2020,Provisional value,
150.5278254,1,OECD,Germany,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,Index,2023,Units,One,2007,Provisional value,
-0.399559808,1,OECD,Germany,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,"Growth rate, over 1 year",2024,Units,One,2020,Provisional value,
149.9263767,1,OECD,Germany,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,Index,2024,Units,One,2007,Provisional value,
,1,OECD,United States,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,"Growth rate, over 1 year",2021,Units,One,2020,Time series break,
,1,OECD,United States,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,"Growth rate, over 1 year",2023,Units,One,2020,Time series break,
157189630600,1000000,OECD,Germany,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,Not applicable,2022,Millions,Zero,2020,Provisional value,
160177406700,1000000,OECD,Germany,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,Not applicable,2023,Millions,Zero,2020,Provisional value,
159537402200,1000000,OECD,Germany,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,Not applicable,2024,Millions,Zero,2020,Provisional value,
686100820700,1000000,OECD,United States,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,Not applicable,2019,Millions,Zero,2020,Definition differs,
729862000000,1000000,OECD,United States,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,Not applicable,2020,Millions,Zero,2020,Definition differs,
810560588800,1000000,OECD,United States,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,Not applicable,2022,Millions,Zero,2020,Definition differs,
204375900200,1000000,OECD,Japan,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,Not applicable,2024,Millions,Zero,2020,Estimated value,
859300091600,1000000,OECD,China (People’s Republic of),Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,Not applicable,2024,Millions,Zero,2020,Estimated value,
676997000000,1000000,OECD,United States,Annual,Gross Domestic Expenditure on R&D (GERD),National currency,Current prices,Not applicable,2019,Millions,Zero,,Definition differs,
729862000000,1000000,OECD,United States,Annual,Gross Domestic Expenditure on R&D (GERD),National currency,Current prices,Not applicable,2020,Millions,Zero,,Definition differs,
907828000000,1000000,OECD,United States,Annual,Gross Domestic Expenditure on R&D (GERD),National currency,Current prices,Not applicable,2022,Millions,Zero,,Definition differs,
135570000000,1000000,OECD,Germany,Annual,Gross Domestic Expenditure on R&D (GERD),National currency,Current prices,Not applicable,2024,Millions,Zero,,Provisional value,
193433175500,1000000,OECD,Germany,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Current prices,Not applicable,2024,Millions,Zero,,Provisional value,
676997000000,1000000,OECD,United States,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Current prices,Not applicable,2019,Millions,Zero,,Definition differs,
729862000000,1000000,OECD,United States,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Current prices,Not applicable,2020,Millions,Zero,,Definition differs,
907828000000,1000000,OECD,United States,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Current prices,Not applicable,2022,Millions,Zero,,Definition differs,
3.043604611,1,OECD,Germany,Annual,Gross Domestic Expenditure on R&D (GERD),Percentage of GDP,Not applicable,Not applicable,2022,Units,Two,,Provisional value,
2137.139951,1,OECD,Germany,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars per person, PPP converted",Not applicable,Not applicable,2022,Units,Zero,,Provisional value,
2260.850432,1,OECD,Germany,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars per person, PPP converted",Not applicable,Not applicable,2023,Units,Zero,,Provisional value,
3.128664165,1,OECD,Germany,Annual,Gross Domestic Expenditure on R&D (GERD),Percentage of GDP,Not applicable,Not applicable,2023,Units,Two,,Provisional value,
2316.093437,1,OECD,Germany,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars per person, PPP converted",Not applicable,Not applicable,2024,Units,Zero,,Provisional value,
3.131691834,1,OECD,Germany,Annual,Gross Domestic Expenditure on R&D (GERD),Percentage of GDP,Not applicable,Not applicable,2024,Units,Two,,Provisional value,
3.623194577,1,OECD,Japan,Annual,Gross Domestic Expenditure on R&D (GERD),Percentage of GDP,Not applicable,Not applicable,2024,Units,Two,,Estimated value,
3.142978485,1,OECD,United States,Annual,Gross Domestic Expenditure on R&D (GERD),Percentage of GDP,Not applicable,Not applicable,2019,Units,Two,,Definition differs,
3.414514176,1,OECD,United States,Annual,Gross Domestic Expenditure on R&D (GERD),Percentage of GDP,Not applicable,Not applicable,2020,Units,Two,,Definition differs,
3.484327191,1,OECD,United States,Annual,Gross Domestic Expenditure on R&D (GERD),Percentage of GDP,Not applicable,Not applicable,2022,Units,Two,,Definition differs,
2048.324293,1,OECD,United States,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars per person, PPP converted",Not applicable,Not applicable,2019,Units,Zero,,Definition differs,
2199.439575,1,OECD,United States,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars per person, PPP converted",Not applicable,Not applicable,2020,Units,Zero,,Definition differs,
2715.202632,1,OECD,United States,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars per person, PPP converted",Not applicable,Not applicable,2022,Units,Zero,,Definition differs,
2967.626693,1,OECD,United States,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars per person, PPP converted",Not applicable,Not applicable,2024,Units,Zero,,Definition differs,Estimated value
3.444858189,1,OECD,United States,Annual,Gross Domestic Expenditure on R&D (GERD),Percentage of GDP,Not applicable,Not applicable,2024,Units,Two,,Definition differs,Estimated value
1009275000000,1000000,OECD,United States,Annual,Gross Domestic Expenditure on R&D (GERD),National currency,Current prices,Not applicable,2024,Millions,Zero,,Definition differs,Estimated value
1009275000000,1000000,OECD,United States,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Current prices,Not applicable,2024,Millions,Zero,,Definition differs,Estimated value
847935105600,1000000,OECD,United States,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,Not applicable,2024,Millions,Zero,2020,Definition differs,Estimated value
3.435817538,1,OECD,United States,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,"Growth rate, over 1 year",2024,Units,One,2020,Definition differs,Estimated value
183.5607034,1,OECD,United States,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,Index,2024,Units,One,2007,Definition differs,Estimated value
170.0749683,1,OECD,United States,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,Index,2021,Units,One,2007,Time series break,Definition differs
177.4633852,1,OECD,United States,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,Index,2023,Units,One,2007,Time series break,Definition differs
785639483900,1000000,OECD,United States,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,Not applicable,2021,Millions,Zero,2020,Time series break,Definition differs
819769327300,1000000,OECD,United States,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Constant prices,Not applicable,2023,Millions,Zero,2020,Time series break,Definition differs
821488000000,1000000,OECD,United States,Annual,Gross Domestic Expenditure on R&D (GERD),National currency,Current prices,Not applicable,2021,Millions,Zero,,Time series break,Definition differs
952115000000,1000000,OECD,United States,Annual,Gross Domestic Expenditure on R&D (GERD),National currency,Current prices,Not applicable,2023,Millions,Zero,,Time series break,Definition differs
821488000000,1000000,OECD,United States,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Current prices,Not applicable,2021,Millions,Zero,,Time series break,Definition differs
952115000000,1000000,OECD,United States,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars, PPP converted",Current prices,Not applicable,2023,Millions,Zero,,Time series break,Definition differs
3.462447491,1,OECD,United States,Annual,Gross Domestic Expenditure on R&D (GERD),Percentage of GDP,Not applicable,Not applicable,2021,Units,Two,,Time series break,Definition differs
3.423455829,1,OECD,United States,Annual,Gross Domestic Expenditure on R&D (GERD),Percentage of GDP,Not applicable,Not applicable,2023,Units,Two,,Time series break,Definition differs
2470.61831,1,OECD,United States,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars per person, PPP converted",Not applicable,Not applicable,2021,Units,Zero,,Time series break,Definition differs
2824.537879,1,OECD,United States,Annual,Gross Domestic Expenditure on R&D (GERD),"US dollars per person, PPP converted",Not applicable,Not applicable,2023,Units,Zero,,Time series break,Definition differs
